"","Totaal","Variabel en <= 1 years","> 1 years en <= 5 years","> 5 years en <= 10 years","> 10 years"
"december 2014",3.22,2.64,2.88,3.24,3.83
"januari 2015",3.16,2.57,2.91,3.22,3.89
"februari 2015",3.2,2.65,2.94,3.21,3.87
"maart 2015",3.11,2.57,2.8,3.12,3.72
"april 2015",3.02,2.6,2.8,2.98,3.49
"mei 2015",2.93,2.57,2.81,2.85,3.35
"juni 2015",2.9,2.59,2.81,2.8,3.19
"juli 2015",2.89,2.53,2.85,2.76,3.16
"augustus 2015",2.86,2.55,2.78,2.73,3.17
"september 2015",2.89,2.62,2.76,2.74,3.23
"oktober 2015",2.89,2.61,2.76,2.75,3.22
"november 2015",2.9,2.63,2.78,2.77,3.22
"december 2015",2.81,2.5,2.69,2.67,3.13
"januari 2016",2.8,2.52,2.68,2.67,3.13
"februari 2016",2.82,2.52,2.71,2.65,3.13
"maart 2016",2.73,2.41,2.62,2.59,3
"april 2016",2.66,2.38,2.45,2.49,2.98
"mei 2016",2.62,2.39,2.39,2.43,2.97
"juni 2016",2.58,2.34,2.27,2.4,2.97
"juli 2016",2.6,2.38,2.2,2.4,2.96
"augustus 2016",2.53,2.3,2.13,2.34,2.9
"september 2016",2.49,2.32,2.04,2.24,2.89
"oktober 2016",2.41,2.28,2.09,2.13,2.83
"november 2016",2.38,2.22,2.3,2.09,2.78
"december 2016",2.34,2.22,2.23,2.05,2.75
"januari 2017",2.33,2.3,2.36,2.05,2.72
"februari 2017",2.36,2.26,2.33,2.09,2.75
"maart 2017",2.39,2.3,2.34,2.14,2.8
"april 2017",2.42,2.33,2.36,2.17,2.78
"mei 2017",2.4,2.34,2.34,2.15,2.8
"juni 2017",2.42,2.28,2.35,2.17,2.87
"juli 2017",2.47,2.22,2.6,2.26,2.91
"augustus 2017",2.43,2.26,2.3,2.19,2.94
"september 2017",2.43,2.26,2.34,2.2,2.95
"oktober 2017",2.41,2.17,2.27,2.21,2.96
"november 2017",2.42,2.21,2.35,2.21,2.93
"december 2017",2.4,2.16,2.3,2.19,2.9
"januari 2018",2.35,2.17,2.26,2.16,2.79
"februari 2018",2.38,2.17,2.24,2.19,2.8
"maart 2018",2.38,2.13,2.24,2.19,2.8
"april 2018",2.39,2.14,2.22,2.21,2.79
"mei 2018",2.4,2.1,2.25,2.22,2.76
"juni 2018",2.39,2.12,2.22,2.23,2.69
"juli 2018",2.39,2.12,2.16,2.21,2.68
"augustus 2018",2.37,2.09,2.11,2.2,2.68
"september 2018",2.37,2.08,2.12,2.19,2.67
"oktober 2018",2.36,2.08,2.15,2.18,2.67
"november 2018",2.37,2.09,2.21,2.18,2.68
"december 2018",2.38,2.08,2.19,2.2,2.68
"januari 2019",2.38,2.08,2.11,2.2,2.71
"februari 2019",2.39,2.08,2.22,2.21,2.72
"maart 2019",2.37,2.09,2.18,2.19,2.72
"april 2019",2.32,2.04,2.17,2.14,2.67
"mei 2019",2.28,2.03,2.19,2.1,2.65
"juni 2019",2.25,2.04,2.18,2.04,2.6
"juli 2019",2.21,2.03,2.06,2,2.57
"augustus 2019",2.17,2.02,2.06,1.96,2.52
"september 2019",2.12,2.01,2.02,1.9,2.45
"oktober 2019",2.01,1.92,1.97,1.82,2.29
"november 2019",1.92,1.89,1.92,1.74,2.14
"december 2019",1.88,1.9,1.91,1.68,2.04
"januari 2020",1.85,1.92,1.83,1.64,1.99
"februari 2020",1.82,1.93,1.85,1.62,1.95
"maart 2020",1.77,1.88,1.87,1.56,1.89
"april 2020",1.75,1.91,1.85,1.54,1.85
"mei 2020",1.77,1.93,1.9,1.55,1.88
