"Regio's";"Woningtype";"Perioden";"Beginstand woningvoorraad (aantal)"
"Nederland";"Eengezinswoningen totaal";"2021";" 5095799"
"Nederland";"Eengezinswoningen totaal";"2022";" 5129687"
"Nederland";"Eengezinswoningen totaal";"2023";" 5159789"
"Nederland";"Eengezinswoningen totaal";"2024";" 5189506"
"Nederland";"detached house";"2021";" 1035389"
"Nederland";"detached house";"2022";" 1042650"
"Nederland";"detached house";"2023";" 1048853"
"Nederland";"detached house";"2024";" 1055194"
"Nederland";"semi-detached house";"2021";"  698022"
"Nederland";"semi-detached house";"2022";"  704055"
"Nederland";"semi-detached house";"2023";"  707902"
"Nederland";"semi-detached house";"2024";"  711792"
"Nederland";"corner house";"2021";" 1012593"
"Nederland";"corner house";"2022";" 1018885"
"Nederland";"corner house";"2023";" 1024770"
"Nederland";"corner house";"2024";" 1030287"
"Nederland";"terraced house";"2021";" 2347198"
"Nederland";"terraced house";"2022";" 2361261"
"Nederland";"terraced house";"2023";" 2374914"
"Nederland";"terraced house";"2024";" 2388465"
"Nederland";"Unknown single-family home";"2021";"    2597"
"Nederland";"Unknown single-family home";"2022";"    2836"
"Nederland";"Unknown single-family home";"2023";"    3350"
"Nederland";"Unknown single-family home";"2024";"    3768"
"Groningen (PV)";"Eengezinswoningen totaal";"2021";"  185652"
"Groningen (PV)";"Eengezinswoningen totaal";"2022";"  186663"
"Groningen (PV)";"Eengezinswoningen totaal";"2023";"  187773"
"Groningen (PV)";"Eengezinswoningen totaal";"2024";"  188618"
"Groningen (PV)";"detached house";"2021";"   67959"
"Groningen (PV)";"detached house";"2022";"   68305"
"Groningen (PV)";"detached house";"2023";"   68379"
"Groningen (PV)";"detached house";"2024";"   68728"
"Groningen (PV)";"semi-detached house";"2021";"   34233"
"Groningen (PV)";"semi-detached house";"2022";"   34424"
"Groningen (PV)";"semi-detached house";"2023";"   34614"
"Groningen (PV)";"semi-detached house";"2024";"   34665"
"Groningen (PV)";"corner house";"2021";"   27594"
"Groningen (PV)";"corner house";"2022";"   27745"
"Groningen (PV)";"corner house";"2023";"   28128"
"Groningen (PV)";"corner house";"2024";"   28266"
"Groningen (PV)";"terraced house";"2021";"   55850"
"Groningen (PV)";"terraced house";"2022";"   56151"
"Groningen (PV)";"terraced house";"2023";"   56610"
"Groningen (PV)";"terraced house";"2024";"   56916"
"Groningen (PV)";"Unknown single-family home";"2021";"      16"
"Groningen (PV)";"Unknown single-family home";"2022";"      38"
"Groningen (PV)";"Unknown single-family home";"2023";"      42"
"Groningen (PV)";"Unknown single-family home";"2024";"      43"
