Regio's,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Groningen (PV),180603,172575,163505,165832,171679,180595,195057,205000,219283,241080,283578,319184,313679
Friesland (PV),191714,180784,169899,174240,180461,187950,201430,216116,230643,254223,290253,325113,323765
Drenthe (PV),203389,193844,181850,185239,194566,205504,213562,228433,241941,266616,316653,355510,349757
Overijssel (PV),208185,202549,189733,197070,198713,210683,227193,244270,260130,282983,325701,365460,365733
Flevoland (PV),199148,189322,178294,188445,194188,204317,226753,253875,269589,301754,351576,405900,394736
Gelderland (PV),245088,233365,215875,221921,227324,237769,255392,275915,296243,323723,379346,422110,413316
Utrecht (PV),282944,267112,249506,256282,264382,282981,316244,349404,371727,404811,460992,510098,476555
Noord-Holland (PV),279072,258872,243147,257128,273911,301899,333082,373688,396601,424553,490225,536786,507271
Zuid-Holland (PV),232987,219399,211626,217573,221441,232144,254146,280460,305261,333763,384214,425469,410408
Zeeland (PV),197952,188728,183907,186748,193489,202262,213611,220889,242998,259014,294022,326521,328452
Noord-Brabant (PV),252551,240127,221039,228412,235669,248763,268514,290569,310254,337960,385036,426539,418547
Limburg (PV),198167,189845,179427,186408,191829,199165,212920,229286,243850,263910,300777,330567,329001
