"Category","Besteedbaar inkomen","Gestandaardiseerd besteedbaar inkomen"
"1977","37,4","23,6"
"1981","36,5","23,5"
"1985","32,7","21,7"
"1989","36,3","24,4"
"1990","37,7","25,6"
"1991","37,7","25,7"
"1992","37,2","25,5"
"1993","37","25,4"
"1994","37","25,5"
"1995","37,5","25,9"
"1996","37,6","26"
"1997","37,8","26,2"
"1998","38,2","26,7"
"1999","38,5","27"
"2000","41,5","28,7"
"2001","44,5","30,7"
"2002","44,6","30,9"
"2003","43,9","30,5"
"2004","44,6","30,9"
"2005","44,6","31"
"2006","45,8","31,9"
"2007","48,2","33,5"
"2008","47,9","33,3"
"2009","47,7","33,2"
"2010","47,1","32,9"
"2011","45,8","32"
"2012","44,9","31,5"
"2013","44,1","30,8"
"2014","46","32,2"
"2015","45,3","31,8"
"2016","47","33"
"2017","48","33,7"
"2018","48,2","33,4"
"2019","50,5","34,9"
"2020","50,6","35"
"2021","51,8","35,9"
"2022*","50,9","35,4"
